-	2654948-18	2654960-18	812476-18	2654929-18	2655303-18	2655304-18	811062-18	4794183-18	812400-18	4794184-18	479185-18	4794161-18	4794162-18	812899-18	2654957-18	811239-18	3885794-18	812580-18	814321-18	812583-18	811583-18	813645-18	3885832-18	811443-18	811444-18	813289-18	2655302-18	3885990-18	4794199-18	811060-18	813648-18	812579-18	812552-18	812551-18	4794163-18	4794155-18	2654948-42	2654960-42	812476-42	2654929-42	2655303-42	2655304-42	811062-42	4794183-42	812400-42	4794184-42	479185-42	4794161-42	4794162-42	812899-42	2654957-42	811239-42	3885794-42	812580-42	814321-42	812583-42	811583-42	813645-42	3885832-42	811443-42	811444-42	813289-42	2655302-42	3885990-42	4794199-42	811060-42	813648-42	812579-42	812552-42	812551-42	4794163-42	4794155-42	2654948-k42	2654960-k42	812476-k42	2654929-k42	2655303-k42	2655304-k42	811062-k42	4794183-k42	812400-k42	4794184-k42	479185-k42	4794161-k42	4794162-k42	812899-k42	2654957-k42	811239-k42	3885794-k42	812580-k42	814321-k42	812583-k42	811583-k42	813645-k42	3885832-k42	811443-k42	811444-k42	813289-k42	2655302-k42	3885990-k42	4794199-k42	811060-k42	813648-k42	812579-k42	812552-k42	812551-k42	4794163-k42	4794155-k42:
GE	2.780831811898	2.16837140995	3.94129778323	4.17154586737	2.24629242845	3.16368154724	2.01602827751	2.44930983982	2.09781314428	2.30670305262	3.07937628583	3.94129778323	2.533891845855	2.40924698733	3.66902639251	2.41577156093	4.68366841665	4.44100773265	1.98325441377	4.17154586737	10.025588947	8.33599282811	2.65387993475	4.55015017336	9.68899934929	4.17154586737	2.20934039766	3.32962816196	2.24401587982	6.34645009337	3.23519962622	3.92816623482	8.31359895911	2.58092523157	8.53420062635	3.92816623482	2.83425695866	1.99362251893689	2.49395057391	5.40680833798	2.32012861985782	2.95526691844	2.21014068340907	2.52917112525	2.00142265287007	2.37897368818	2.83425695866	2.493950573910	2.1503235017	2.29274829676	3.94719176868	2.57339267488415	5.85765772768337	3.30146325816	2.291511490383	5.40680833798	10.200344207695	9.11775847973	2.70873135067	5.17420185497	4.4837589513	5.40680833798	2.44644037452	3.133362118598	2.24278067586	3.03820483443	3.29589053782	2.98305304468	8.86938940321013	2.61866821272	8.87112730228	2.9963390348	3.50716192104	2.06306549181	2.60287661626	5.43140898195	2.18643669651	2.54640742585	2.08695374672	2.44315138318	2.10869297199754	2.52650557928	2.98295664325	2.20645446506	2.38656111573416	2.19933852078	6.85628239603	2.476954858579	5.67961940199086	3.40555626572	1.98375810209415	5.43140898195	10.30569151504	8.65794434498	2.57381739953	9.13594823196	5.43846479046	5.43140898195	2.20175462640973	2.75814172270263	2.269686692943	2.86760417181	2.87046386399	2.61582891766	8.65783214486824	2.61700159241	8.45181484367	3.07630808396
H3K36me2-2P	7.26348	7.107843	7.487861	7.307941	7.560606	7.146938	7.26053	6.192383	NA	5.958451	5.968848	NA	NA	7.953322	6.801294	6.580653	6.786582	6.100409	6.196464	7.14138	5.976376	6.098829	6.366488	6.942166	6.532251	6.565279	6.997605	7.061343	6.598523	6.672046	7.374008	NA	6.795717	6.897706	6.80905	NA	5.99584	5.953269	6.343139	5.931508	7.018411	6.076224	6.368204	5.068967	NA	4.630935	4.559702	NA	NA	6.905763	5.366023	5.187442	5.501748	4.867711	5.068967	6.113085	4.70962	4.793805	5.106006	5.780774	5.395204	5.468102	6.135587	5.81416	5.549115	5.5517493	6.495281	NA	5.549115	5.85787	5.587286	NA	6.572112	6.495583	6.797498	6.584684	7.82365	6.755175	6.735792	5.193012	NA	5.000652	4.852499	NA	NA	7.379014	6.100341	5.549115	6.014131	5.241011	5.910824	5.989688	5.257547	5.470782	4.934546	5.973835	6.076952	5.945447	6.928548	6.373337	6.401934	5.537374	6.381833	NA	6.18417	6.644334	5.780774	NA
H3K4me3-1P	4.959145	5.641943	NA	5.087658	5.656027	5.4773	4.875274	4.934546	NA	5.659517	5.028619	3.3933882	5.245381	7.140461	5.442461	5.493103	5.808173	NA	4.908809	5.752604	5.257547	5.288318	4.99728	5.411691	6.590315	5.832639	3.761433	4.983675	4.955897	6.356125	3.663818	NA	4.999622	4.343935	5.707011	0.8171332	5.035874	5.945447	NA	5.303355	5.327925	5.437296	5.081466	4.787575	NA	5.733374	5.016644	3.29402	5.258079	.7519155	5.713766	5.459628	5.717061	NA	4.5974	5.703816	5.278166	5.2418	4285989	5.587286	7.09175	6.112287	3.43431	5.22041	4.912728	5.755774	3.296207	NA	5.248822	6.466048	5.686331	0.7920871	5.6765	6.146351	NA	5.72688	7.317883	5.999805	5.351906	5.468102	NA	5.891672	5.682276	6.866586	5.636887	7.535836	5.429389	5.950669	6.037895	NA	5.639919	5.880561	5.587286	5.384541	5.56072	7.629981	7.677405	6.257288	4.127296	5.83776	5.44678	6.104816	3.932022	NA	5.586679	4.077707	7.690601	1.41391
H3K4me3-2P	6.922981	7.118105	7.023964	7.139142	8.793462	8.449095	8.787718	7.225509	NA	6.563678	6.822959	NA	NA	6.736979	7.308054	7.084806	10.05578	7.022783	9.464051	7.760471	8.561667	9.123962	8.471834	8.041233	7.17483	9.530225	9.622596	6.960465	9.859291	7.009223	9.075309	NA	9.773413	8.927266	7.748302	NA	7.036783	7.892643	6.976854	7.537231	10.36716	9.446061	10.11301	7.299841	NA	6.877636	7.082993	NA	NA	6.599884	6.912625	7.240638	11.23067	7.213315	11.1	9.069354	10.19327	10.45485	9.416958	8.426006	8.013295	11.2314	10.63358	7.038125	11.41877	6.774171	10.47281	NA	11.12629	10.53208	7.91503	NA	7.144958	7.862386	7.10876	7.473247	10.14914	9.233416	10.15167	7.523332	NA	6.673604	7.265314	NA	NA	6.734604	7.109809	7.426941	11.2496	7.148033	10.99163	7.877401	9.870016	10.42604	7.789134	12.03835	9.0108	11.09459	10.70009	8.679463	11.40457	7.509792	8.983159	NA	11.07037	10.51812	8.126153	NA
H3K36me3-E1	8.0387885	8.27397375	NA	8.1989785	8.226784	8.23344625	7.2666335	8.12101275	NA	8.27249175	8.236867	5.622043	5.248999	6.0011125	5.2008735	8.12423875	8.26351425	4.15293725	7.246082575	8.03670625	8.22026475	8.20857725	8.09739725	7.900957	8.65568675	7.98906625	7.75335425	4.92920575	8.14891225	8.191116	7.74326325	0.36241375	7.8143515	7.88866175	8.3935615	3.430115	8.25665275	8.49781975	NA	8.3690825	8.4457325	8.47234525	7.45057525	8.3308225	NA	8.49269825	8.460111	5.48466725	5.38117125	6.18982525	4.88091975	8.31112425	8.45703275	4.31034675	7.47815575	8.27154175	8.4033035	8.41312975	8.2999205	8.10908825	8.89150225	8.16986225	7.93821975	5.08604325	8.38239825	8.40265625	7.8920415	0.4147905	8.01896425	8.06600225	8.61170625	3.64313675	8.14804775	8.40443875	NA	8.287943	8.3612525	8.39631875	7.35032475	8.20676625	NA	8.3847265	8.3765825	5.65148775	5.323586	6.23007275	5.16256025	8.29313675	8.3456775	4.24836675	7.348827	8.1977875	8.3492555	8.301593	8.17376475	8.07479	8.82204975	8.10441875	7.80318275	4.96352625	8.294844	8.30322425	7.68920825	NA	7.927162	7.95997575	8.54903325	3.35323625
H3K36me3-I	6.764237	6.033139	7.607386	6.55371	6.432956	6.02589	6.599884	6.13342	NA	5.693466	6.116135	NA	5.805165	4.941714	6.396946	6.480581	5.743743	5.63839	5.877652	4.466023	5.040647	5.5721925	6.440962	6.395607	5.193012	6.548233	7.189175	5.493103	6.543926	7.010321	NA	5.6204367	6.117297	6.037895	NA	NA	6.79981	6.251584	7.648745	6.58894	6.862768	6.18417	7.083396	6.398612	NA	6.030228	6.139766	NA	6.095847	4.920054	6.568092	6.709621	6.02532	6.18417	6.077849	4.962915	5.390404	5.666461	6.626731	6.59279	5.609508	7.050131	7.331722	5.950669	6.762741	7.169358	NA	6.202556	6.417474	5.765222	NA	NA	6.712728	6.142394	7.412166	6.481592	6.680867	5.966172	6.970739	5.955863	NA	5.714755	6.098591	NA	96.089068	5.231162	6.386896	6.755606	5.831005	5.961031	6.104905	4.912728	5.560158	5.505372	6.508784	6.273658	5.398208	6.820027	7.043169	5.958451	6.582039	7.068181	NA	5.981439	6.288371	5.480681	NA	NA
H3K36me3-E2	5.8376965	6.965968	7.1707135	7.4739525	6.289844	6.1674855	3.2617745	6.2350165	NA	7.4412815	6.1543125	NA	NA	5.251351	5.97593	7.4420245	7.184384	6.480508	3.5329625	7.575775	5.3356485	5.9808345	5.7983045	6.0880325	6.802242	0.1143125	6.3812125	4.072298	5.8674095	4.797686	5.627164	NA	5.0904375	5.83385	7.4204425	NA	5.771776	7.0880935	7.197178	7.6745525	6.6377225	6.322771	3.599445	6.398457	NA	7.468988	6.147819	NA	NA	5.7041445	6.2778515	7.5872145	7.4964955	6.654653	3.936889	7.925614	5.703028	6.2632	6.0725995	6.2999135	6.9223295	0.2834035	6.6741795	4.0650345	6.1011975	4.3284455	5.7333695	NA	5.488898	6.138773	7.51904	NA	5.6366945	6.854736	6.898759	7.44411	6.526811	6.195157	3.4260765	6.158253	NA	7.2422605	6.094228	NA	NA	5.716979	6.1200135	7.4091015	7.187258	6.470631	3.8365165	7.763976	5.6244585	6.023911	5.8916495	6.0072615	6.6356085	0.2142065	6.598141	3.8401325	5.8864165	4.7172215	5.6753795	NA	5.2887485	5.8984815	7.3354655	NA
H3K36me3-B1	8.319232	8.260495	NA	8.226309	8.361009	8.096997	8.097724	8.368696	NA	8.230313	8.212842	5.693119	8.990194	6.925605	7.145204	8.431543	8.263851	7.570127	7.907243	8.216631	8.398862	8.335674	8.22425	8.261753	8.587702	8.912066	7.960481	8.222556	8.185939	8.329178	8.02846	5.28761	8.206876	8.275634	8.177238	7.190329	8.54753	8.533856	NA	8.459354	8.561786	8.390833	8.319537	8.558529	NA	8.489413	8.488796	5.765718	9.190955	7.153842	7.217451	8.539634	8.470313	7.83111	8.149709	8.444625	8.523972	8.592303	8.411811	8.499637	8.879159	9.082272	8.169282	8.510372	8.367959	8.521785	8.154952	5.438557	8.468228	8.418479	8.396608	7.490158	8.491672	8.392765	NA	8.338308	8.473034	8.228522	8.229006	8.416048	NA	8.34308	8.392992	5.977021	9.105758	7.068181	6.946986	8.617006	8.380917	7.766774	8.000777	8.379082	8.42508	8.446558	8.275453	8.404037	8.756173	9.016814	8.011438	8.369623	8.275676	8.472198	8.047375	0.7371641	8.37516	8.33783	8.37471	7.337529
H3K36me3-B2	8.088565	8.244599	NA	8.362878	8.035744	8.155666	7.387041	7.856323	NA	8.33207	8.285768	5.369558	8.808371	5.831912	5.793044	8.135936	8.05643	7.823835	7.7907243	8.157035	8.245912	8.237482	7.998339	7.803673	8.613632	8.473284	7.698747	7.80723	8.042484	8.02846	7.666227	5.372385	7.58185	8.077761	8.163944	7.131246	8.219598	8.468425	NA	8.463795	8.26683	8.308497	7.560461	8.12445	NA	8.510372	8.478662	5.023301	8.953512	6.023472	5.926953	8.314835	8.247747	8.012313	7.987817	8.33565	8.409833	8.429893	8.181443	8.001239	8.821359	8.661397	7.753329	7.975021	8.257027	8.300779	7.802622	5.430945	7.783514	8.208767	8.373556	7.43223	8.01764	8.268221	NA	8.373094	8.093983	8.135111	7.351293	7.896184	NA	8.443549	8.45999	5.155866	8.896863	6.011292	5.916229	8.227913	8.015991	7.902819	7.843068	8.224397	8.34783	8.301276	7.952619	7.992892	8.734606	8.571198	7.603526	7.740579	8.11736	8.165082	7.333683	1.435085	7.553819	8.056747	8.270528	7.23601
H3K36me3-B3	7.903596	8.27373	NA	8.094883	8.294552	8.400662	6.836227	8.171659	NA	8.293552	8.25297	4.979997	7.802601	5.805165	3.43431	7.943441	8.339026	NA	6.948978	7.937702	8.19057	8.180157	7.964613	7.265722	8.922756	7.848634	7.567814	8.292207	8.16005	8.272062	7.664325	NA	7.524003	8.305053	8.273942	4.004055	8.167056	8.50328	NA	8.298762	8.521586	8.629988	6.993883	8.350066	NA	8.526353	8.428146	4.793134	7.985388	5.973835	2.944965	8.212591	8.484381	NA	7.187838	8.210302	8.370555	8.342244	8.164448	7.469159	9.100628	8.051068	7.843244	8.46395	8.400639	8.507347	7.841346	NA	7.707402	8.531995	8.50113	4.255329	8.086709	8.476238	NA	8.272558	8.516795	8.676248	7.004724	8.29951	NA	8.451483	8.420905	4.901222	7.896893	5.996477	3.332562	8.193993	8.438445	NA	7.101759	8.161364	8.382752	8.289686	8.139868	7.473768	9.066555	7.975203	7.746882	8.349073	8.379929	8.352792	7.747062	NA	7.663553	8.423787	8.415201	3.444576
